source,title,doi,pmid,link,internal_id,"success,pdf_path",success,pdf_path
Scopus,Characterization of an adenovirus early protein required for viral DNA replication: A single strand specific DNA binding protein,10.1007/BF01792789,,https://doi.org/10.1007/BF01792789,6379bd5c-84ed-8938-0caf-33fe6dd22da818a357e2,,False,
Scopus,"Structure de la mycosubtiline, antibiotique isolé de Bacillus subtilis",10.1111/j.1432-1033.1976.tb10240.x,,https://doi.org/10.1111/j.1432-1033.1976.tb10240.x,6832ffb5-2cf4-7ef9-7d47-7b497a3e2b5c467a79e2,,True,data/literature_data/scopus/6832ffb5-2cf4-7ef9-7d47-7b497a3e2b5c467a79e2.pdf
Scopus,Regulation of purine metabolism adenylosuccinate synthetase from novikoff ascites tumor cells,10.1016/0304-4165(76)90349-4,,https://doi.org/10.1016/0304-4165(76)90349-4,417ef1ab-8c8a-f551-1089-7da831d5fb53d31102b8,,False,
Scopus,"Synthesis and Some Properties and Antitumor Effects of the Actinomycin Lactam Analog, [Di-(1′-L-αβdiaminopropionic Acid)]actinomycin D",10.1021/jm00228a006,,https://doi.org/10.1021/jm00228a006,2b766771-93ec-8b40-e0fb-9fec8a8481dec978a91c,,False,
Scopus,Cyclosporin A and C - New metabolites from Trichoderma polysporum (Link ex Pers.) Rifai,10.1007/BF00928431,,https://doi.org/10.1007/BF00928431,5b5e9ce0-9af9-b0ae-0237-1d45eb9639a1af525ee9,,False,
Scopus,"Intraocular Penetration of the Soluble Antiviral, Ara AMP",10.1001/archopht.1976.03910040415018,,https://doi.org/10.1001/archopht.1976.03910040415018,c0b0e6b0-9b12-fe40-cdc8-9bd67b0fa303376ca6f4,,False,
Scopus,POSSIBLE FUNCTIONS OF PEPTIDE ANTIBIOTICS DURING GROWTH OF PRODUCER ORGANISMS: BACITRACIN AND METAL(II) ION TRANSPORT,10.1111/j.1699-0463.1976.tb01913.x,,https://doi.org/10.1111/j.1699-0463.1976.tb01913.x,b18df023-8b58-e5b1-4cff-317abe77676abd17f930,,False,
Scopus,Swelling of penicillium digitatum conidia by a fusarium acuminatum NRRL 6227 metabolite,10.1007/BF00491996,,https://doi.org/10.1007/BF00491996,f88647b9-ba4f-97e6-249f-7327e261a6e1202c7212,,False,
Scopus,"Spontaneous deamidation of a protein antibiotic, neocarzinostatin, at weakly acidic pH: Conversion to a homologous inactive preneocarzinostatin due to change of asparagine 83 to aspartic acid 83 accompanied by conformational and biological alterations",10.1093/oxfordjournals.jbchem.a131443,,https://doi.org/10.1093/oxfordjournals.jbchem.a131443,2e2a93d2-d903-5d64-ced7-1e240c4ade657c77181d,,False,
Scopus,Inhibition of Escherichia coli Growth and Respiration by Polymyxin B Covalently Attached to Agarose Beads,10.1021/bi00627a019,,https://doi.org/10.1021/bi00627a019,afeb4703-a18f-fc30-5c9c-300040ad80ca4415e5f5,,False,
Scopus,INHIBITION OF POLIOVIRUS REPLICATION BY A PLANT ANTIVIRAL PEPTIDE,10.1111/j.1749-6632.1977.tb21979.x,,https://doi.org/10.1111/j.1749-6632.1977.tb21979.x,0ebdacf7-92e5-3ce7-2a17-72e5185d6e91fb14ddea,,True,data/literature_data/scopus/0ebdacf7-92e5-3ce7-2a17-72e5185d6e91fb14ddea.pdf
Scopus,Roles of cyclic structure and dehydro-form amino acid residue in a peptide antibiotic,10.1093/oxfordjournals.jbchem.a131637,,https://doi.org/10.1093/oxfordjournals.jbchem.a131637,447c7b3c-2c56-4b99-3189-2269a487f8ad99252c46,,False,
Scopus,Conformations of di-N-methylleucine gramicidin S and N-methylleucine gramicidin S compatible with the sidedness hypothesis,10.1016/0005-2795(77)90278-1,,https://doi.org/10.1016/0005-2795(77)90278-1,4275a053-4170-abc4-7add-0a69ef8ebfd82f8a4154,,False,
Scopus,Some considerations in the design of new antineoplastic agents,10.1002/1097-0142(197707)40:1+<529::AID-CNCR2820400719>3.0.CO;2-0,,https://doi.org/10.1002/1097-0142(197707)40:1+<529::AID-CNCR2820400719>3.0.CO;2-0,52cfc9b4-30b4-7102-9c0e-d47e92f03430f8f3b81a,,False,
Scopus,"Structure de la bacillomycine L, antibiotique de Bacillus subtils",10.1111/j.1432-1033.1977.tb11641.x,,https://doi.org/10.1111/j.1432-1033.1977.tb11641.x,e5b2c334-f87d-b632-02bb-7101d42f9eb09a97c0e9,,False,
Scopus,A conformational basis for the selective action of ara-adenine,10.1016/0022-5193(77)90052-2,,https://doi.org/10.1016/0022-5193(77)90052-2,03c1881c-9f4e-0db1-f7bb-456405629b0f30ccb424,,False,
Scopus,Further Evidence that Elongation Factor 1 Remains Bound to Ribosomes during Peptide Chain Elongation,10.1111/j.1432-1033.1977.tb11787.x,,https://doi.org/10.1111/j.1432-1033.1977.tb11787.x,fa62a18a-97e4-e062-7bea-abbef413abdbdee4b3de,,True,data/literature_data/scopus/fa62a18a-97e4-e062-7bea-abbef413abdbdee4b3de.pdf
Scopus,An interferon-induced increase in cyclic AMP levels precedes the establishment of the antiviral state,10.1016/0006-291X(77)90086-9,,https://doi.org/10.1016/0006-291X(77)90086-9,54b01ea5-bf95-f36c-9745-8f6f9c2e950b388b5bea,,False,
Scopus,Conformational effects of purine N3 electronic properties on drug design and cyclic nucleotide metabolism,10.1002/qua.560140719,,https://doi.org/10.1002/qua.560140719,f30be2a9-ef69-b018-7714-283c9a4a62fa312caab9,,False,
Scopus,Metal chelates as anti-cancer agents. Ii cytotoxic action of palladium and platinum complexes of 6-mercaptopurine and thioguanine,10.1038/bjc.1978.205,,https://doi.org/10.1038/bjc.1978.205,5af9065d-9e8b-665a-59ff-cea9efca89a05d991a55,,False,
Scopus,Present and Future Uses of Hemoperfusion with Sorbents,10.1111/j.1525-1594.1978.tb01620.x,,https://doi.org/10.1111/j.1525-1594.1978.tb01620.x,9db38247-8437-2162-faea-8ab1d46e9e5cf6da7aeb,,False,
